ttt,ID,habitat,habitat2,initial_size,Lf,tethered.density,overall.density,date.mortality.recorded,date.last.alive,start.date,time_alive,length.experiment,Mortality,mort2
ULD1,94,SG,U,139,151,0.004166667,0.030952381,7/12/2004,7/1/2004,7/1/2004,11,45,1,0
ULD1,95,SG,U,125,E,0.004166667,0.030952381,8/15/2004,7/1/2004,7/1/2004,45,45,1,0
ULD1,96,SG,U,126,130,0.004166667,0.030952381,NA,8/15/2004,7/1/2004,45,45,0,1
ULD1,97,SG,U,122,150,0.004166667,0.030952381,NA,8/15/2004,7/1/2004,45,45,0,1
ULD1,98,SG,U,117,123,0.004166667,0.030952381,7/12/2004,7/1/2004,7/1/2004,11,45,1,0
ULD1,99,SG,U,95,109,0.004166667,0.030952381,7/12/2004,7/1/2004,7/1/2004,11,45,1,0
ULD1,100,SG,U,102,110,0.004166667,0.030952381,7/12/2004,7/1/2004,7/1/2004,11,45,1,0
ULD2,101,SG,U,130,129,0.032142857,0.063690476,7/18/2004,7/12/2004,7/1/2004,17,45,1,0
ULD2,102,SG,U,115,110,0.032142857,0.063690476,7/12/2004,7/1/2004,7/1/2004,11,45,1,0
ULD2,103,SG,U,119,121,0.032142857,0.063690476,7/24/2004,7/18/2004,7/1/2004,23,45,1,0
ULD2,104,SG,U,111,118,0.032142857,0.063690476,NA,8/15/2004,7/1/2004,45,45,0,1
ULD2,105,SG,U,126,116,0.032142857,0.063690476,NA,8/15/2004,7/1/2004,45,45,0,1
ULD2,106,SG,U,117,124,0.032142857,0.063690476,NA,8/15/2004,7/1/2004,45,45,0,1
ULD2,107,SG,U,134,120,0.032142857,0.063690476,NA,8/15/2004,7/1/2004,45,45,0,1
ULD2,108,SG,U,115,118,0.032142857,0.063690476,NA,8/15/2004,7/1/2004,45,45,0,1
ULD2,109,SG,U,120,130,0.032142857,0.063690476,NA,8/15/2004,7/1/2004,45,45,0,1
ULD2,110,SG,U,120,115,0.032142857,0.063690476,NA,8/15/2004,7/1/2004,45,45,0,1
SHD1,111,SG,S,140,M,0.047619048,0.030357143,7/24/2004,7/12/2004,6/30/2004,24,45,1,0
SHD1,112,SG,S,130,132,0.047619048,0.030357143,NA,8/14/2004,6/30/2004,45,45,0,1
SHD1,113,SG,S,133,135,0.047619048,0.030357143,NA,8/14/2004,6/30/2004,45,45,0,1
SHD1,114,SG,S,130,133,0.047619048,0.030357143,NA,8/14/2004,6/30/2004,45,45,0,1
SHD1,115,SG,S,132,141,0.047619048,0.030357143,NA,8/14/2004,6/30/2004,45,45,0,1
SHD1,116,SG,S,114,120,0.047619048,0.030357143,NA,8/14/2004,6/30/2004,45,45,0,1
SHD1,117,SG,S,144,148,0.047619048,0.030357143,NA,8/14/2004,6/30/2004,45,45,0,1
SHD1,118,SG,S,114,119,0.047619048,0.030357143,7/31/2004,7/24/2004,6/30/2004,31,45,1,0
SHD1,119,SG,S,135,M,0.047619048,0.030357143,8/14/2004,8/7/2004,6/30/2004,45,45,1,0
SHD1,120,SG,S,129,120,0.047619048,0.030357143,7/31/2004,7/24/2004,6/30/2004,31,45,1,0
SHD2,121,SG,S,157,152,0.101190476,0.04702381,NA,8/14/2004,7/2/2004,42,42,0,1
SHD2,122,SG,S,116,112,0.101190476,0.04702381,NA,8/14/2004,7/2/2004,42,42,0,1
SHD2,123,SG,S,102,114,0.101190476,0.04702381,NA,8/14/2004,7/2/2004,42,42,0,1
SHD2,124,SG,S,115,126,0.101190476,0.04702381,NA,8/14/2004,7/2/2004,42,42,0,1
SHD2,125,SG,S,128,128,0.101190476,0.04702381,NA,8/14/2004,7/2/2004,42,42,0,1
SHD2,126,SG,S,128,125,0.101190476,0.04702381,NA,8/14/2004,7/2/2004,42,42,0,1
SHD2,127,SG,S,127,128,0.101190476,0.04702381,NA,8/14/2004,7/2/2004,42,42,0,1
SHD2,128,SG,S,132,132,0.101190476,0.04702381,NA,8/14/2004,7/2/2004,42,42,0,1
SHD2,129,SG,S,125,120,0.101190476,0.04702381,NA,8/14/2004,7/2/2004,42,42,0,1
SHD2,130,SG,S,106,104,0.101190476,0.04702381,NA,8/14/2004,7/2/2004,42,42,0,1
SLD1,131,SG,S,106,108,0.03125,0.117857143,NA,8/14/2004,7/10/2004,34,34,0,1
SLD1,132,SG,S,121,121,0.03125,0.117857143,NA,8/14/2004,7/10/2004,34,34,0,1
SLD1,133,SG,S,123,125,0.03125,0.117857143,NA,8/14/2004,7/10/2004,34,34,0,1
SLD1,134,SG,S,140,144,0.03125,0.117857143,NA,8/14/2004,7/10/2004,34,34,0,1
SLD1,135,SG,S,121,117,0.03125,0.117857143,8/7/2004,7/31/2004,7/10/2004,28,34,1,0
SLD1,136,SG,S,112,110,0.03125,0.117857143,NA,8/14/2004,7/10/2004,34,34,0,1
SLD1,137,SG,S,125,125,0.03125,0.117857143,8/14/2004,8/7/2004,7/10/2004,35,35,1,0
SLD1,138,SG,S,125,127,0.03125,0.117857143,NA,8/14/2004,7/10/2004,34,34,0,1
SLD1,139,SG,S,116,113,0.03125,0.117857143,NA,8/14/2004,7/10/2004,34,34,0,1
SLD1,140,SG,S,120,M,0.03125,0.117857143,7/31/2004,7/24/2004,7/10/2004,21,34,1,0
SLD2,141,SG,S,111,109,0.000694444,0.18452381,NA,8/14/2004,7/2/2004,42,42,0,1
SLD2,142,SG,S,106,106,0.000694444,0.18452381,NA,8/14/2004,7/2/2004,42,42,0,1
SLD2,143,SG,S,112,102,0.000694444,0.18452381,NA,8/14/2004,7/2/2004,42,42,0,1
SLD2,144,SG,S,103,109,0.000694444,0.18452381,7/18/2004,7/2/2004,7/2/2004,16,42,1,0
SLD2,145,SG,S,107,125,0.000694444,0.18452381,NA,8/14/2004,7/2/2004,42,42,0,1
SLD2,146,SG,S,124,102,0.000694444,0.18452381,NA,8/14/2004,7/2/2004,42,42,0,1
SLD2,147,SG,S,109,106,0.000694444,0.18452381,NA,8/14/2004,7/2/2004,42,42,0,1
SLD2,148,SG,S,103,134,0.000694444,0.18452381,NA,8/14/2004,7/2/2004,42,42,0,1
SLD2,149,SG,S,125,123,0.000694444,0.18452381,NA,8/14/2004,7/2/2004,42,42,0,1
SLD2,150,SG,S,115,113,0.000694444,0.18452381,NA,8/14/2004,7/2/2004,42,42,0,1
SLD3,151,SG,S,111,112,0.020138889,0.058928571,NA,8/14/2004,7/2/2004,42,42,0,1
SLD3,152,SG,S,106,115,0.020138889,0.058928571,7/31/2004,7/24/2004,7/2/2004,29,42,1,0
SLD3,153,SG,S,112,118,0.020138889,0.058928571,8/14/2004,8/7/2004,7/2/2004,43,43,1,0
SLD3,154,SG,S,103,116,0.020138889,0.058928571,NA,8/14/2004,7/2/2004,42,42,0,1
SLD3,155,SG,S,107,115,0.020138889,0.058928571,8/14/2004,8/7/2004,7/2/2004,43,43,1,0
SLD3,156,SG,S,124,M,0.020138889,0.058928571,8/14/2004,8/7/2004,7/2/2004,43,43,1,0
SLD3,157,SG,S,109,119,0.020138889,0.058928571,NA,8/14/2004,7/2/2004,42,42,0,1
SLD3,158,SG,S,103,106,0.020138889,0.058928571,8/7/2004,7/31/2004,7/2/2004,36,42,1,0
SLD3,159,SG,S,125,99,0.020138889,0.058928571,NA,8/14/2004,7/2/2004,42,42,0,1
SLD3,160,SG,S,115,106,0.020138889,0.058928571,7/24/2004,7/18/2004,7/2/2004,22,42,1,0
SLD4,161,SG,S,112,112,0.00297619,0.041071429,NA,8/14/2004,6/30/2004,39,39,0,1
SLD4,162,SG,S,114,122,0.00297619,0.041071429,NA,8/14/2004,6/30/2004,39,39,0,1
SLD4,163,SG,S,132,122,0.00297619,0.041071429,NA,8/14/2004,6/30/2004,39,39,0,1
SLD4,164,SG,S,113,116,0.00297619,0.041071429,NA,8/14/2004,6/30/2004,39,39,0,1
SLD4,165,SG,S,140,153,0.00297619,0.041071429,NA,8/14/2004,6/30/2004,39,39,0,1
SLD4,166,SG,S,119,123,0.00297619,0.041071429,NA,8/14/2004,6/30/2004,39,39,0,1
SLD4,167,SG,S,115,116,0.00297619,0.041071429,NA,8/14/2004,6/30/2004,39,39,0,1
SLD4,168,SG,S,124,128,0.00297619,0.041071429,NA,8/14/2004,6/30/2004,39,39,0,1
SLD4,169,SG,S,120,118,0.00297619,0.041071429,NA,8/14/2004,6/30/2004,39,39,0,1
SLD4,170,SG,S,148,E,0.00297619,0.041071429,NA,6/30/2004,6/30/2004,39,39,0,1
OHD1,171,SG,O,110,110,0.036904762,0.102380952,NA,8/15/2004,6/30/2004,45,45,0,1
OHD1,172,SG,O,129,114,0.036904762,0.102380952,7/18/2004,7/10/2004,6/30/2004,18,45,1,0
OHD1,173,SG,O,120,120,0.036904762,0.102380952,7/18/2004,7/10/2004,6/30/2004,18,45,1,0
OHD1,174,SG,O,118,118,0.036904762,0.102380952,NA,8/15/2004,6/30/2004,45,45,0,1
OHD1,175,SG,O,119,126,0.036904762,0.102380952,NA,8/15/2004,6/30/2004,45,45,0,1
OHD1,176,SG,O,120,115,0.036904762,0.102380952,7/18/2004,7/10/2004,6/30/2004,18,45,1,0
OHD1,177,SG,O,100,112,0.036904762,0.102380952,NA,8/15/2004,6/30/2004,45,45,0,1
OHD1,178,SG,O,115,120,0.036904762,0.102380952,NA,8/15/2004,6/30/2004,45,45,0,1
OHD1,179,SG,O,115,114,0.036904762,0.102380952,NA,8/15/2004,6/30/2004,45,45,0,1
OHD1,180,SG,O,135,127,0.036904762,0.102380952,NA,8/15/2004,6/30/2004,45,45,0,1
OLD1,181,SG,O,104,114,0.001190476,0.039285714,NA,8/14/2004,7/2/2004,43,43,0,1
OLD1,182,SG,O,128,126,0.001190476,0.039285714,NA,8/14/2004,7/2/2004,43,43,0,1
OLD1,183,SG,O,114,113,0.001190476,0.039285714,NA,8/14/2004,7/2/2004,43,43,0,1
OLD1,184,SG,O,117,115,0.001190476,0.039285714,NA,8/14/2004,7/2/2004,43,43,0,1
OLD1,185,SG,O,122,120,0.001190476,0.039285714,7/31/2004,7/24/2004,7/2/2004,29,43,1,0
OLD1,186,SG,O,101,100,0.001190476,0.039285714,NA,8/14/2004,7/2/2004,43,43,0,1
OLD1,187,SG,O,122,123,0.001190476,0.039285714,NA,8/14/2004,7/2/2004,43,43,0,1
OLD1,188,SG,O,108,107,0.001190476,0.039285714,7/31/2004,7/24/2004,7/2/2004,29,43,1,0
OLD1,189,SG,O,111,108,0.001190476,0.039285714,NA,8/14/2004,7/2/2004,43,43,0,1
OLD1,190,SG,O,104,102,0.001190476,0.039285714,NA,8/14/2004,7/2/2004,43,43,0,1
OLD2,191,SG,O,108,113,0.073611111,0.102777778,7/31/2004,7/24/2004,7/9/2004,22,35,1,0
OLD2,192,SG,O,124,124,0.073611111,0.102777778,NA,8/14/2004,7/9/2004,35,35,0,1
OLD2,193,SG,O,110,118,0.073611111,0.102777778,7/17/2004,7/9/2004,7/9/2004,8,35,1,0
OLD2,194,SG,O,120,125,0.073611111,0.102777778,NA,8/14/2004,7/9/2004,35,35,0,1
OLD2,195,SG,O,110,114,0.073611111,0.102777778,NA,8/14/2004,7/9/2004,35,35,0,1
OLD2,196,SG,O,113,113,0.073611111,0.102777778,NA,8/14/2004,7/9/2004,35,35,0,1
OLD2,197,SG,O,127,129,0.073611111,0.102777778,7/17/2004,7/9/2004,7/9/2004,8,35,1,0
OLD2,198,SG,O,128,132,0.073611111,0.102777778,NA,8/14/2004,7/9/2004,35,35,0,1
OLD2,199,SG,O,123,132,0.073611111,0.102777778,NA,8/14/2004,7/9/2004,35,35,0,1
OLD2,200,SG,O,120,E,0.073611111,0.102777778,7/17/2004,7/9/2004,7/9/2004,8,35,1,0
